system   D            wsystem.c:583  maybe_parent_dir                 [   0.00044] Also searching C:\Code\Orchid\
display  D   display_settings.c:486  _al_score_display_settings       [   0.03509] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03511] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03513] Score is : 737
display  D   display_settings.c:357  _al_score_display_settings       [   0.03515] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03517] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03519] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03522] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03524] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03526] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03528] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03530] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03533] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03535] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03537] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03539] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03541] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03544] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03546] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03548] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03550] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03552] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03555] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03557] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03559] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.03563] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03567] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03569] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03571] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03573] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03575] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03578] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03580] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03582] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03584] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03586] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03589] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03591] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03593] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03595] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03597] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03600] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03602] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03604] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03606] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03608] Score is : 609
display  D   display_settings.c:357  _al_score_display_settings       [   0.03610] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03612] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03615] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03617] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03619] Single Buffer requirement not met.
